Time,Ask,Bid,AskVolume,BidVolume
01.05.2012 14:07:15.363,81.071,81.057,2.33,1.58
01.05.2012 14:07:16.259,81.069,81.054,2.33,2.33
01.05.2012 14:07:17.176,81.071,81.056,4.65,1.58
01.05.2012 14:07:22.844,81.074,81.062,1.50,2.33
01.05.2012 14:07:23.397,81.081,81.066,2.33,1.58
01.05.2012 14:07:23.723,81.088,81.071,3.08,1.58
01.05.2012 14:07:23.792,81.088,81.071,3.83,1.58
01.05.2012 14:07:23.864,81.088,81.073,1.50,1.58
01.05.2012 14:07:23.998,81.086,81.073,1.50,1.58
01.05.2012 14:07:24.206,81.087,81.071,1.50,1.58
01.05.2012 14:07:24.885,81.086,81.069,3.08,2.33
01.05.2012 14:07:26.326,81.085,81.070,2.33,1.58
01.05.2012 14:07:26.631,81.086,81.072,1.50,1.58
01.05.2012 14:07:27.001,81.087,81.072,2.33,1.58
01.05.2012 14:07:27.074,81.085,81.070,2.33,1.58
01.05.2012 14:07:28.962,81.083,81.068,2.33,3.08
01.05.2012 14:07:29.218,81.081,81.067,1.58,1.50
01.05.2012 14:07:29.287,81.081,81.066,1.58,2.33
01.05.2012 14:07:29.805,81.081,81.066,1.58,2.33
01.05.2012 14:07:30.054,81.081,81.066,1.58,2.33
01.05.2012 14:07:30.184,81.083,81.069,2.33,1.50
01.05.2012 14:07:31.644,81.085,81.069,2.33,1.50
01.05.2012 14:07:32.161,81.086,81.069,2.33,3.08
01.05.2012 14:07:32.303,81.083,81.069,1.58,1.50
01.05.2012 14:07:33.032,81.085,81.070,1.58,1.58
01.05.2012 14:07:34.238,81.083,81.069,1.58,1.50
01.05.2012 14:07:34.756,81.083,81.069,1.58,1.50
01.05.2012 14:07:36.581,81.087,81.071,1.50,1.58
01.05.2012 14:07:36.891,81.085,81.068,2.33,2.33
01.05.2012 14:07:37.143,81.082,81.068,1.50,2.33
01.05.2012 14:07:37.515,81.078,81.068,1.50,1.58
01.05.2012 14:07:37.724,81.077,81.068,1.50,1.58
01.05.2012 14:07:37.983,81.079,81.062,2.33,3.83
01.05.2012 14:07:38.174,81.079,81.066,1.58,2.33
01.05.2012 14:07:38.244,81.082,81.068,1.50,1.58
01.05.2012 14:07:38.827,81.083,81.068,1.50,1.58
01.05.2012 14:07:39.155,81.083,81.066,3.08,2.33
01.05.2012 14:07:39.345,81.083,81.069,1.50,1.58
01.05.2012 14:07:39.418,81.082,81.067,2.33,1.58
01.05.2012 14:07:39.559,81.082,81.067,2.33,1.58
01.05.2012 14:07:40.063,81.083,81.066,3.08,2.33
01.05.2012 14:07:40.939,81.080,81.065,2.33,1.58
01.05.2012 14:07:41.236,81.083,81.069,1.50,1.58
01.05.2012 14:07:41.303,81.083,81.069,1.50,3.15
01.05.2012 14:07:41.375,81.083,81.071,1.50,1.58
01.05.2012 14:07:41.564,81.083,81.069,3.08,1.58
01.05.2012 14:07:42.009,81.083,81.067,3.83,1.58
01.05.2012 14:07:42.087,81.082,81.065,2.33,1.58
01.05.2012 14:07:42.154,81.082,81.065,3.08,1.58
01.05.2012 14:07:42.866,81.081,81.065,2.33,1.58
01.05.2012 14:07:42.958,81.080,81.063,2.33,2.33
01.05.2012 14:07:43.038,81.080,81.063,2.33,2.33
01.05.2012 14:07:43.545,81.080,81.063,2.33,2.33
01.05.2012 14:07:43.617,81.081,81.065,2.33,1.58
01.05.2012 14:07:45.452,81.081,81.063,2.33,2.33
01.05.2012 14:07:45.887,81.081,81.063,2.33,2.33
01.05.2012 14:07:46.695,81.078,81.061,1.58,3.83
01.05.2012 14:07:47.321,81.082,81.065,3.08,1.50
01.05.2012 14:07:47.514,81.083,81.068,2.33,1.58
01.05.2012 14:07:48.198,81.079,81.063,1.58,2.33
01.05.2012 14:07:48.335,81.075,81.061,1.58,2.25
01.05.2012 14:07:48.471,81.073,81.061,1.58,1.50
01.05.2012 14:07:48.834,81.076,81.059,2.33,3.08
01.05.2012 14:07:49.632,81.076,81.059,1.58,3.08
01.05.2012 14:07:49.997,81.074,81.059,1.58,3.08
01.05.2012 14:07:50.124,81.078,81.060,2.33,2.33
01.05.2012 14:07:50.691,81.079,81.062,2.33,2.33
01.05.2012 14:07:51.202,81.079,81.062,2.33,2.33
01.05.2012 14:07:51.332,81.079,81.062,2.33,2.33
01.05.2012 14:07:52.484,81.080,81.063,2.33,2.70
01.05.2012 14:07:52.913,81.083,81.065,1.50,2.33
01.05.2012 14:07:53.422,81.082,81.065,1.50,2.33
01.05.2012 14:07:53.494,81.079,81.065,2.33,2.33
01.05.2012 14:07:53.949,81.073,81.061,1.58,1.50
01.05.2012 14:07:54.508,81.073,81.058,2.33,2.25
01.05.2012 14:07:54.597,81.068,81.057,1.58,2.25
01.05.2012 14:07:54.783,81.070,81.057,2.33,2.25
01.05.2012 14:07:55.321,81.070,81.057,2.33,1.50
01.05.2012 14:07:56.119,81.070,81.057,2.33,1.50
01.05.2012 14:07:56.702,81.070,81.057,2.33,2.25
01.05.2012 14:07:58.294,81.070,81.057,2.33,1.50
01.05.2012 14:07:58.458,81.070,81.057,2.33,1.50
01.05.2012 14:07:58.664,81.069,81.053,2.33,2.33
01.05.2012 14:07:59.193,81.065,81.051,1.50,2.33
01.05.2012 14:08:01.504,81.065,81.052,1.50,2.33
01.05.2012 14:08:02.026,81.066,81.053,1.50,2.33
01.05.2012 14:08:03.044,81.069,81.055,1.50,1.58
01.05.2012 14:08:03.594,81.066,81.051,1.50,2.33
01.05.2012 14:08:03.793,81.066,81.050,3.08,2.33
01.05.2012 14:08:03.865,81.063,81.048,2.33,2.33
01.05.2012 14:08:06.484,81.065,81.049,1.58,2.33
01.05.2012 14:08:06.555,81.065,81.052,1.58,1.58
01.05.2012 14:08:06.800,81.069,81.054,1.50,1.58
01.05.2012 14:08:07.472,81.068,81.054,1.50,2.33
01.05.2012 14:08:07.606,81.068,81.052,1.50,2.33
01.05.2012 14:08:07.901,81.068,81.054,1.50,1.58
01.05.2012 14:08:08.277,81.068,81.055,1.50,1.58
01.05.2012 14:08:08.793,81.066,81.054,1.50,1.58
01.05.2012 14:08:08.862,81.066,81.051,1.50,2.33
01.05.2012 14:08:09.173,81.065,81.048,2.33,2.33
01.05.2012 14:08:09.494,81.065,81.048,3.08,2.33
01.05.2012 14:08:09.596,81.065,81.048,3.08,2.33
01.05.2012 14:08:09.911,81.065,81.050,3.08,1.50
01.05.2012 14:08:10.163,81.064,81.049,1.58,2.33
01.05.2012 14:08:10.964,81.065,81.051,1.50,1.58
01.05.2012 14:08:11.034,81.066,81.053,1.50,1.58
01.05.2012 14:08:11.352,81.068,81.055,1.50,1.58
01.05.2012 14:08:11.793,81.069,81.055,1.50,1.58
01.05.2012 14:08:12.516,81.068,81.053,1.58,2.33
01.05.2012 14:08:14.175,81.068,81.053,3.08,3.08
01.05.2012 14:08:14.684,81.068,81.053,2.33,3.08
01.05.2012 14:08:15.175,81.070,81.056,1.50,1.58
01.05.2012 14:08:15.303,81.070,81.054,1.50,2.33
01.05.2012 14:08:18.184,81.069,81.054,1.50,3.08
01.05.2012 14:08:18.383,81.070,81.057,1.50,1.58
01.05.2012 14:08:18.700,81.070,81.057,1.50,1.58
01.05.2012 14:08:18.846,81.069,81.055,1.50,1.58
01.05.2012 14:08:19.353,81.070,81.055,1.50,1.58
01.05.2012 14:08:19.634,81.070,81.057,1.50,1.58
01.05.2012 14:08:19.941,81.070,81.060,1.50,1.58
01.05.2012 14:08:21.011,81.072,81.060,1.50,1.58
01.05.2012 14:08:21.580,81.074,81.060,1.50,1.58
01.05.2012 14:08:21.660,81.074,81.063,1.50,1.58
01.05.2012 14:08:21.754,81.076,81.063,1.50,1.58
01.05.2012 14:08:21.824,81.076,81.062,1.50,1.58
01.05.2012 14:08:22.143,81.077,81.064,1.50,1.58
01.05.2012 14:08:22.333,81.076,81.061,1.50,1.58
01.05.2012 14:08:23.072,81.074,81.061,1.50,1.58
01.05.2012 14:08:23.592,81.075,81.061,1.50,1.58
01.05.2012 14:08:24.491,81.075,81.061,1.50,1.58
01.05.2012 14:08:25.055,81.076,81.062,1.50,1.58
01.05.2012 14:08:25.128,81.076,81.063,1.50,1.58
01.05.2012 14:08:25.205,81.076,81.067,1.50,1.58
01.05.2012 14:08:26.187,81.078,81.067,1.50,1.58
01.05.2012 14:08:26.255,81.078,81.069,1.50,1.58
01.05.2012 14:08:29.404,81.083,81.069,1.50,1.58
01.05.2012 14:08:29.542,81.084,81.069,3.08,1.58
01.05.2012 14:08:29.612,81.084,81.069,2.33,2.33
01.05.2012 14:08:30.288,81.085,81.071,1.50,3.08
01.05.2012 14:08:30.842,81.083,81.066,2.33,5.33
01.05.2012 14:08:30.911,81.083,81.066,2.33,5.33
01.05.2012 14:08:31.274,81.084,81.071,3.08,2.33
01.05.2012 14:08:31.844,81.084,81.073,1.50,1.58
01.05.2012 14:08:32.352,81.088,81.073,1.50,2.33
01.05.2012 14:08:33.043,81.088,81.073,1.50,2.33
01.05.2012 14:08:34.556,81.087,81.072,1.58,3.08
01.05.2012 14:08:35.072,81.088,81.074,1.50,2.33
01.05.2012 14:08:35.653,81.088,81.075,1.50,1.58
01.05.2012 14:08:37.950,81.088,81.073,1.50,2.33
01.05.2012 14:08:38.633,81.088,81.073,1.50,2.33
01.05.2012 14:08:39.492,81.088,81.076,1.50,1.58
01.05.2012 14:08:39.701,81.088,81.076,1.50,1.58
01.05.2012 14:08:39.891,81.088,81.074,1.50,2.33
01.05.2012 14:08:41.051,81.088,81.074,1.50,2.33
01.05.2012 14:08:41.243,81.088,81.074,1.50,2.33
01.05.2012 14:08:41.794,81.088,81.073,3.08,1.58
